比赛ID,联赛名,日期,主队,客队,主队半场,客队半场,主队射门,客队射门,主队射正,客队射正,主队控球率,客队控球率,主队传球成功率,客队传球成功率,主队犯规,客队犯规,主队黄牌,客队黄牌,主队角球,客队角球,主队半场角球,客队半场角球,主队红牌,客队红牌,主队射中门框,客队射中门框
1128894,中超,2023-5-1 7:35:00 PM,大连人,梅州客家,0,0,10,9,3,1,44%,56%,58%,64%,21,15,3,3,7,8,7,2,0,0,0,0
1128897,中超,2023-5-5 7:35:00 PM,上海申花,大连人,0,0,19,12,7,3,53%,47%,76%,68%,8,12,1,1,7,6,4,4,0,0,0,0
1128899,中超,2023-5-5 7:35:00 PM,武汉三镇,浙江,0,0,20,7,7,2,53%,47%,79%,78%,11,18,1,2,8,5,5,2,0,0,0,0
1128896,中超,2023-5-5 7:35:00 PM,河南,北京国安,0,0,7,7,4,2,42%,58%,74%,83%,9,24,3,3,2,4,0,2,0,0,0,0
1128898,中超,2023-5-5 7:35:00 PM,深圳,沧州雄狮,0,0,6,6,1,2,56%,44%,87%,83%,16,16,2,3,5,3,2,1,0,0,0,0
1128900,中超,2023-5-6 3:30:00 PM,梅州客家,山东泰山,0,0,10,18,3,8,37%,63%,71%,83%,15,7,2,0,3,8,2,2,0,0,0,0
1128903,中超,2023-5-6 7:35:00 PM,南通支云,长春亚泰,0,0,25,8,8,1,59%,41%,82%,75%,14,22,1,4,9,1,4,1,0,0,0,0
1128902,中超,2023-5-6 7:35:00 PM,天津津门虎,上海海港,0,0,10,8,1,1,46%,54%,77%,80%,16,16,4,0,7,6,6,0,0,0,0,0
1128901,中超,2023-5-6 7:35:00 PM,成都蓉城,青岛海牛,0,0,16,6,6,3,59%,41%,85%,73%,10,11,0,2,6,4,1,1,0,0,0,0
1128905,中超,2023-5-9 7:35:00 PM,大连人,沧州雄狮,0,0,14,9,3,1,60%,40%,75%,67%,10,14,1,1,5,4,1,2,0,0,0,0
1128904,中超,2023-5-9 7:35:00 PM,河南,武汉三镇,0,0,12,16,3,4,38%,62%,73%,83%,18,13,3,2,1,3,0,1,0,0,0,0
1128906,中超,2023-5-9 7:35:00 PM,深圳,上海申花,0,0,8,12,2,3,49%,51%,85%,83%,10,20,0,1,5,3,0,2,0,0,0,0
1128908,中超,2023-5-10 7:35:00 PM,上海海港,青岛海牛,0,0,21,8,8,2,59%,41%,81%,72%,7,9,0,1,10,1,8,1,0,0,0,0
1128911,中超,2023-5-10 7:35:00 PM,北京国安,天津津门虎,0,0,13,13,4,5,57%,43%,81%,74%,11,12,2,3,6,6,3,5,0,0,0,0
1128910,中超,2023-5-10 7:35:00 PM,南通支云,浙江,0,0,9,14,3,6,57%,43%,80%,75%,6,23,0,3,3,6,0,2,0,0,0,0
1128907,中超,2023-5-10 7:35:00 PM,成都蓉城,山东泰山,0,0,14,7,5,3,48.2%,51.8%,83.4%,83.3%,14,18,0,0,9,3,0,0,0,0,0,0
1128909,中超,2023-5-10 7:35:00 PM,长春亚泰,梅州客家,0,0,17,13,4,5,53%,47%,78%,75%,12,12,0,1,3,5,2,2,0,0,0,0
1128912,中超,2023-5-13 3:30:00 PM,上海申花,武汉三镇,0,0,9,10,5,8,45%,55%,75%,81%,12,16,2,2,4,1,0,0,0,0,0,0
1128913,中超,2023-5-13 7:35:00 PM,深圳,大连人,0,0,9,17,5,7,48%,52%,61%,68%,18,14,3,2,2,6,2,4,0,0,0,0
1128914,中超,2023-5-14 3:30:00 PM,青岛海牛,梅州客家,0,0,17,10,8,1,43%,57%,83%,83%,9,8,1,1,7,4,5,2,0,0,0,0
1128915,中超,2023-5-14 5:30:00 PM,成都蓉城,长春亚泰,0,0,14,6,7,4,52%,48%,76%,77%,10,16,1,3,8,4,5,0,0,0,0,0
1128917,中超,2023-5-14 7:35:00 PM,天津津门虎,河南,0,0,9,12,3,2,60%,40%,78%,67%,17,11,2,2,8,4,7,0,0,0,0,0
1128918,中超,2023-5-14 7:35:00 PM,沧州雄狮,山东泰山,0,0,10,15,5,1,26%,74%,72%,88%,10,14,2,0,4,6,1,2,0,0,0,0
1128916,中超,2023-5-14 7:35:00 PM,浙江,上海海港,0,0,12,10,2,3,56%,44%,85%,81%,13,10,2,0,3,5,3,2,0,0,0,0
1128919,中超,2023-5-15 7:35:00 PM,北京国安,南通支云,0,0,17,11,3,3,59%,41%,82%,76%,12,16,1,2,8,7,4,5,0,0,0,0
1128920,中超,2023-5-19 5:30:00 PM,武汉三镇,成都蓉城,0,0,16,14,5,7,55%,45%,84%,75%,10,13,1,1,3,4,2,0,0,0,0,0
1128921,中超,2023-5-19 7:35:00 PM,上海申花,北京国安,0,0,11,12,3,6,33%,67%,67%,86%,14,14,0,2,2,8,1,4,0,0,0,0
1128924,中超,2023-5-19 7:35:00 PM,南通支云,深圳,0,0,21,9,10,2,51%,49%,83%,76%,14,11,3,6,6,3,2,1,0,0,0,0
1128922,中超,2023-5-19 7:35:00 PM,沧州雄狮,长春亚泰,0,0,18,22,6,12,46%,54%,80%,85%,8,14,4,1,6,5,2,3,0,0,0,0
1128923,中超,2023-5-19 7:35:00 PM,青岛海牛,浙江,0,0,11,22,4,8,37%,63%,74%,87%,12,8,3,2,3,5,2,2,0,0,0,0
1128926,中超,2023-5-20 7:35:00 PM,天津津门虎,山东泰山,0,0,5,14,2,6,49%,51%,75%,73%,14,14,0,3,1,9,0,2,0,0,0,0
1128927,中超,2023-5-20 7:35:00 PM,梅州客家,上海海港,0,0,5,13,1,6,40%,60%,75%,84%,7,10,0,1,1,10,1,4,0,0,0,0
1128925,中超,2023-5-20 7:35:00 PM,河南,大连人,0,0,6,8,2,1,46%,54%,58%,57%,13,18,1,1,6,3,2,2,0,0,0,0
1128929,中超,2023-5-23 7:35:00 PM,北京国安,沧州雄狮,0,0,12,11,7,6,60%,40%,88%,86%,16,10,1,1,7,5,3,2,0,0,0,0
1128931,中超,2023-5-23 7:35:00 PM,南通支云,武汉三镇,0,0,11,19,2,11,41%,59%,82%,88%,9,14,1,2,6,3,3,1,0,0,0,0
1128928,中超,2023-5-23 7:35:00 PM,成都蓉城,上海申花,0,0,8,10,4,5,56%,44%,74%,68%,17,21,4,7,4,4,1,4,0,0,0,0
1128930,中超,2023-5-23 7:35:00 PM,长春亚泰,青岛海牛,0,0,7,7,3,4,53%,47%,79%,76%,6,14,0,2,7,4,0,1,0,0,0,0
1128933,中超,2023-5-24 7:35:00 PM,上海海港,河南,0,0,16,12,5,4,64%,36%,86%,75%,12,12,2,1,7,5,4,1,0,0,0,0
