match_id,league,date,home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_pass_success,away_pass_success,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_corners,away_corners,home_red_cards,away_red_cards
531064,英超,2021-1-2 1:30:00 AM,埃弗顿,西汉姆,0,0,10,11,2,5,60.3,39.7,83.8,76.2,9,7,0,0,0,0,0,0
531065,英超,2021-1-2 4:00:00 AM,曼联,阿斯顿维拉,0,0,19,15,9,5,49.0,51.0,83.3,79.6,22,10,0,0,0,0,0,0
531068,英超,2021-1-2 8:30:00 PM,热刺,利兹联,0,0,20,18,7,5,36.0,64.0,76.0,85.0,15,13,4,1,3,5,1,0
537033,西甲,2021-1-2 9:00:00 PM,比利亚雷亚尔,莱万特,0,0,12,9,7,2,50.1,49.9,86.5,81.3,12,11,0,0,0,0,0,0
527517,德甲,2021-1-2 10:30:00 PM,不莱梅,柏林联合,0,0,11,9,2,2,57.7,42.3,75.2,64.6,15,14,0,0,0,0,0,0
527516,德甲,2021-1-2 10:30:00 PM,比勒菲尔德,门兴,0,0,7,23,0,6,42.2,57.8,73.7,82.8,8,7,0,0,0,0,0,0
527511,德甲,2021-1-2 10:30:00 PM,法兰克福,勒沃库森,0,0,11,7,4,2,34.7,65.3,68.7,83.8,9,6,0,0,0,0,0,0
527518,德甲,2021-1-2 10:30:00 PM,科隆,奥格斯堡,0,0,12,11,2,4,45.0,55.0,71.0,83.0,20,12,2,3,8,3,0,0
527513,德甲,2021-1-2 10:30:00 PM,霍芬海姆,弗赖堡,0,0,15,10,6,5,69.9,30.1,86.3,69.0,14,22,0,0,0,0,0,0
531063,英超,2021-1-2 11:00:00 PM,水晶宫,谢菲尔德联,0,0,9,7,4,2,44.6,55.4,71.4,80.6,8,18,0,0,0,0,0,0
537026,西甲,2021-1-2 11:15:00 PM,贝蒂斯,塞维利亚,0,0,16,6,3,2,45.4,54.6,79.0,83.5,15,18,0,0,0,0,0,0
531060,英超,2021-1-3 1:30:00 AM,布莱顿,狼队,0,0,13,11,4,4,54.2,45.8,86.4,83.2,13,8,0,0,0,0,0,0
527512,德甲,2021-1-3 1:30:00 AM,柏林赫塔,沙尔克,0,0,21,11,9,4,62.4,37.6,85.0,75.5,11,18,0,0,0,0,0,0
537028,西甲,2021-1-3 1:30:00 AM,赫塔费,巴拉多利德,0,0,11,8,4,2,53.7,46.3,73.4,67.0,13,13,0,0,0,0,0,0
527515,德甲,2021-1-3 3:30:00 AM,斯图加特,RB莱比锡,0,0,10,22,1,8,43.7,56.3,76.7,81.5,10,10,0,0,0,0,0,0
537030,西甲,2021-1-3 4:00:00 AM,皇家马德里,塞尔塔,0,0,9,6,2,1,41.0,59.0,87.2,88.7,14,14,0,0,0,0,0,0
531069,英超,2021-1-3 4:00:00 AM,西布朗,阿森纳,0,0,7,21,3,12,38.5,61.5,74.3,82.8,7,4,0,0,0,0,0,0
542600,意甲,2021-1-3 7:30:00 PM,国际米兰,克罗托内,0,0,16,9,8,3,47.8,52.2,85.2,87.1,9,7,0,0,0,0,0,0
537025,西甲,2021-1-3 9:00:00 PM,毕尔巴鄂,埃尔切,0,0,13,5,2,2,49.2,50.8,84.3,82.7,15,13,0,0,0,0,0,0
542595,意甲,2021-1-3 10:00:00 PM,亚特兰大,萨索洛,0,0,23,10,7,4,45.8,54.2,77.6,81.6,13,9,0,0,0,0,0,0
542598,意甲,2021-1-3 10:00:00 PM,佛罗伦萨,博洛尼亚,0,0,9,7,0,3,46.9,53.1,85.3,86.9,8,11,0,0,0,0,0,0
542597,意甲,2021-1-3 10:00:00 PM,卡利亚里,那不勒斯,0,0,8,34,1,12,38.2,61.8,83.2,93.1,11,6,0,0,0,0,0,0
542602,意甲,2021-1-3 10:00:00 PM,帕尔马,都灵,0,0,16,12,4,5,56.9,43.1,82.1,76.5,20,16,0,0,0,0,0,0
542603,意甲,2021-1-3 10:00:00 PM,斯佩齐亚,维罗纳,0,0,7,12,1,3,53.6,46.4,72.2,69.8,22,10,0,0,0,0,0,0
542599,意甲,2021-1-3 10:00:00 PM,热那亚,拉齐奥,0,0,10,12,3,3,39.2,60.8,73.4,84.7,11,18,0,0,0,0,0,0
542594,意甲,2021-1-3 10:00:00 PM,罗马,桑普多利亚,0,0,21,5,6,2,65.5,34.5,85.2,69.3,18,14,0,0,0,0,0,0
531066,英超,2021-1-3 10:15:00 PM,纽卡斯尔,莱斯特城,0,0,7,9,2,3,43.2,56.8,71.1,79.8,10,11,0,0,0,0,0,0
527514,德甲,2021-1-3 10:30:00 PM,多特蒙德,沃尔夫斯堡,0,0,14,21,8,5,59.7,40.3,84.1,76.5,10,12,0,0,0,0,0,0
537024,西甲,2021-1-3 11:15:00 PM,阿拉维斯,马德里竞技,0,0,4,8,1,4,40.7,59.3,74.5,82.0,14,12,0,0,0,0,0,0
531062,英超,2021-1-4 12:30:00 AM,切尔西,曼城,0,0,9,18,2,6,55.0,45.0,90.0,88.0,11,10,3,1,5,3,0,0
527519,德甲,2021-1-4 1:00:00 AM,拜仁慕尼黑,美因茨,0,0,16,11,13,5,70.0,30.0,89.5,73.3,11,9,2,1,0,0,0,0
542596,意甲,2021-1-4 1:00:00 AM,贝内文托,AC米兰,0,0,25,10,5,2,60.5,39.5,87.4,82.4,9,14,0,0,0,0,0,0
537027,西甲,2021-1-4 1:30:00 AM,埃瓦尔,格拉纳达,0,0,15,6,7,3,56.2,43.8,61.7,48.2,10,9,0,0,0,0,0,0
537031,西甲,2021-1-4 1:30:00 AM,皇家社会,奥萨苏纳,0,0,8,6,2,2,62.1,37.9,74.5,59.0,15,8,0,0,0,0,0,0
542601,意甲,2021-1-4 3:45:00 AM,尤文图斯,乌迪内斯,0,0,20,10,10,3,63.1,36.9,91.3,82.9,14,8,0,0,0,0,0,0
537029,西甲,2021-1-4 4:00:00 AM,韦斯卡,巴塞罗那,0,0,4,20,4,7,30.6,69.4,81.7,91.4,12,11,0,0,0,0,0,0
531067,英超,2021-1-5 4:00:00 AM,南安普顿,利物浦,0,0,7,17,3,1,32.9,67.1,65.7,80.1,5,12,0,0,0,0,0,0
537032,西甲,2021-1-5 4:00:00 AM,瓦伦西亚,加的斯,0,0,11,9,4,2,71.4,28.6,86.0,66.8,11,17,0,0,0,0,0,0
542607,意甲,2021-1-6 7:30:00 PM,卡利亚里,贝内文托,0,0,12,9,5,3,56.0,44.0,87.0,78.0,18,12,4,3,7,6,1,0
542605,意甲,2021-1-6 10:00:00 PM,亚特兰大,帕尔马,0,0,17,2,5,0,50.0,50.0,87.0,86.0,10,6,1,1,12,3,0,0
542608,意甲,2021-1-6 10:00:00 PM,克罗托内,罗马,0,0,14,14,4,4,50.0,50.0,82.0,82.0,15,17,2,3,3,4,0,0
542606,意甲,2021-1-6 10:00:00 PM,博洛尼亚,乌迪内斯,0,0,10,17,6,6,38.0,62.0,79.0,87.0,16,12,4,3,4,6,1,0
542609,意甲,2021-1-6 10:00:00 PM,拉齐奥,佛罗伦萨,0,0,14,10,6,7,45.0,55.0,84.0,86.0,11,11,3,1,2,9,0,0
542611,意甲,2021-1-6 10:00:00 PM,桑普多利亚,国际米兰,0,0,11,23,3,6,39.0,61.0,73.0,83.0,13,18,3,4,4,10,0,0
542612,意甲,2021-1-6 10:00:00 PM,萨索洛,热那亚,0,0,13,7,4,2,66.0,34.0,88.0,75.0,14,10,3,3,8,2,0,0
542613,意甲,2021-1-6 10:00:00 PM,都灵,维罗纳,0,0,18,8,2,2,49.0,51.0,72.0,76.0,11,18,1,3,9,3,0,0
542604,意甲,2021-1-7 3:45:00 AM,AC米兰,尤文图斯,0,0,20,14,8,6,55.0,45.0,87.0,87.0,17,11,1,2,7,4,0,0
529889,法甲,2021-1-7 4:00:00 AM,兰斯,第戎,0,0,10,8,4,0,58.0,42.0,85.0,78.0,13,8,2,3,7,5,0,0
529888,法甲,2021-1-7 2:00:00 AM,南特,雷恩,0,0,7,8,2,0,38.0,62.0,73.0,90.0,13,13,2,3,6,3,0,0
529890,法甲,2021-1-7 4:00:00 AM,圣埃蒂安,巴黎圣日耳曼,0,0,10,10,6,4,39.0,61.0,74.0,89.0,13,12,1,1,9,10,0,0
529882,法甲,2021-1-7 2:00:00 AM,布雷斯特,尼斯,0,0,9,13,5,6,40.0,60.0,76.0,86.0,11,9,2,3,6,6,0,0
529891,法甲,2021-1-7 2:00:00 AM,斯特拉斯堡,尼姆,0,0,21,5,11,2,62.0,38.0,87.0,83.0,12,6,1,2,10,5,0,0
529887,法甲,2021-1-7 2:00:00 AM,梅斯,波尔多,0,0,9,11,3,3,43.0,57.0,81.0,87.0,9,20,1,2,3,2,0,0
588237,西甲,2021-1-7 4:00:00 AM,毕尔巴鄂,巴塞罗那,0,0,9,16,4,11,48.0,52.0,85.0,90.0,10,6,2,1,3,4,0,0
529884,法甲,2021-1-7 2:00:00 AM,洛里昂,摩纳哥,0,0,12,18,5,9,43.0,57.0,81.0,87.0,9,9,1,3,5,8,1,0
542610,意甲,2021-1-7 1:00:00 AM,那不勒斯,斯佩齐亚,0,0,30,8,10,2,59.0,41.0,86.0,79.0,9,16,2,4,10,2,0,1
529883,法甲,2021-1-7 4:00:00 AM,里尔,昂热,0,0,4,7,1,2,63.0,37.0,83.0,67.0,12,10,3,1,8,6,0,0
529885,法甲,2021-1-7 4:00:00 AM,里昂,朗斯,0,0,12,12,7,5,48.0,52.0,83.0,83.0,8,10,1,2,7,4,0,0
529886,法甲,2021-1-7 4:00:00 AM,马赛,蒙彼利埃,0,0,18,16,6,8,57.0,43.0,87.0,80.0,4,6,0,0,5,1,0,0
527522,德甲,2021-1-9 3:30:00 AM,门兴,拜仁慕尼黑,0,0,8,18,5,3,30.0,70.0,79.0,88.0,9,10,1,1,3,8,0,0
537045,西甲,2021-1-9 4:00:00 AM,塞尔塔,比利亚雷亚尔,0,0,7,16,3,6,56.0,44.0,88.0,84.0,15,18,1,0,3,4,0,0
537051,西甲,2021-1-9 9:00:00 PM,塞维利亚,皇家社会,0,0,12,11,7,4,59.0,41.0,82.0,77.0,8,18,0,3,2,9,0,0
542616,意甲,2021-1-9 10:00:00 PM,贝内文托,亚特兰大,0,0,4,28,2,11,37.0,63.0,72.0,85.0,13,21,3,2,1,11,0,0
527525,德甲,2021-1-9 10:30:00 PM,勒沃库森,不莱梅,0,0,14,3,5,1,72.0,28.0,87.0,59.0,21,14,2,2,3,1,0,0
527527,德甲,2021-1-9 10:30:00 PM,弗赖堡,科隆,0,0,12,5,6,0,51.0,49.0,80.0,77.0,14,7,0,0,1,3,0,0
527526,德甲,2021-1-9 10:30:00 PM,柏林联合,沃尔夫斯堡,0,0,14,10,7,5,48.0,52.0,74.0,75.0,16,12,3,1,5,3,0,1
